sl_pct,rr,vol_filter_max,retest_mode,body_pos_threshold,trades,wins,win_pct,gross,max_dd,ret_pct,pr
0.01,7.0,0.34,wick_touch,0.7,17,8,47.05882352941177,24710.778407188904,5940.928918820675,49.42155681437781,4.159413240731755
0.01,9.0,0.34,wick_touch,0.7,17,8,47.05882352941177,24710.778407188904,5940.928918820675,49.42155681437781,4.159413240731755
0.007,9.0,0.34,wick_touch,0.7,17,8,47.05882352941177,21995.220217245223,8656.48710876434,43.990440434490445,2.5408944691866933
0.007,7.0,0.34,wick_touch,0.7,17,8,47.05882352941177,21995.220217245223,8656.48710876434,43.990440434490445,2.5408944691866933
0.01,7.0,999.0,wick_touch,0.7,96,46,47.916666666666664,50645.22250733213,43299.2124061411,101.29044501466427,1.16965689888967
0.01,9.0,999.0,wick_touch,0.7,96,46,47.916666666666664,50645.22250733213,43299.2124061411,101.29044501466427,1.16965689888967
0.007,9.0,999.0,wick_touch,0.7,96,42,43.75,16883.360241634135,49360.46519536739,33.76672048326827,0.3420421621800007
0.007,7.0,999.0,wick_touch,0.7,96,42,43.75,16883.360241634135,49360.46519536739,33.76672048326827,0.3420421621800007
0.005,9.0,999.0,wick_touch,0.7,97,37,38.144329896907216,-9825.665142258507,45841.530777488726,-19.651330284517012,-0.21433981316966774
0.005,7.0,999.0,wick_touch,0.7,97,37,38.144329896907216,-15242.100964541243,45841.530777488726,-30.484201929082488,-0.3324954622158067
0.005,9.0,0.34,wick_touch,0.7,17,6,35.294117647058826,-8367.330090385945,16062.286151326123,-16.73466018077189,-0.5209302095327898
0.005,7.0,0.34,wick_touch,0.7,17,6,35.294117647058826,-8367.330090385945,16062.286151326123,-16.73466018077189,-0.5209302095327898
