entry_t,entry_px,side,expiry,notional,size_mult,pred_pct,n_strikes,peak_ret,tp_taken,exit_t,exit_px,ret,pnl_pct,pnl_usd,exit_reason,equity_after,pyramided
2025-12-09 16:00:00+00:00,3264.041190112482,1,2025-12-12 12:00:00+00:00,15000.0,3.0,0.03181197501162163,18,0.0314345222046607,True,2025-12-09 17:00:00+00:00,3365.9714364269244,0.031228235300219852,0.03022823530021985,453.4235295032978,partial_tp,10453.423529503298,
2025-12-09 16:00:00+00:00,3264.041190112482,1,2025-12-12 12:00:00+00:00,15000.0,3.0,0.03181197501162163,18,0.034851719669505066,True,2025-12-09 20:00:00+00:00,3354.284474796822,0.027647716259741807,0.026647716259741806,399.7157438961271,trail,10853.139273399425,
2025-12-09 20:00:00+00:00,3354.284474796822,-1,2025-12-12 12:00:00+00:00,8609.774238376007,1.5865961030239777,-0.007932980515119889,13,0.013052104583190949,True,2025-12-09 22:00:00+00:00,3311.166103830606,0.012854715004107614,0.011854715004107615,102.06641984565526,partial_tp,10955.205693245081,
2025-12-09 20:00:00+00:00,3354.284474796822,-1,2025-12-12 12:00:00+00:00,8609.774238376007,1.5865961030239777,-0.007932980515119889,13,0.013052104583190949,True,2025-12-09 23:00:00+00:00,3326.358314405154,0.00832551937723157,0.007325519377231571,63.071068016812625,trail,11018.276761261894,
2025-12-10 09:00:00+00:00,3324.352540140516,1,2025-12-12 12:00:00+00:00,16676.154720242354,1.5134993503587104,0.007567496751793553,15,0.005675132297697444,,2025-12-10 11:00:00+00:00,3312.51884850304,-0.003559698165157847,-0.004559698165157847,-76.03823207977743,trail,10942.238529182116,
2025-12-10 16:00:00+00:00,3330.617939009724,1,2025-12-12 12:00:00+00:00,7353.075896255524,1.3439801877185242,0.006719900938592621,14,0.010266058826441682,True,2025-12-10 18:00:00+00:00,3364.13729664826,0.010064005614676427,0.009064005614676428,66.64832120880197,partial_tp,11008.886850390918,
2025-12-10 16:00:00+00:00,3330.617939009724,1,2025-12-12 12:00:00+00:00,7353.075896255524,1.3439801877185242,0.006719900938592621,14,0.022012364417899655,True,2025-12-10 20:00:00+00:00,3377.20849148634,0.013988561080791016,0.012988561080791015,95.50587541020701,trail,11104.392725801124,
2025-12-10 20:00:00+00:00,3377.20849148634,-1,2025-12-12 12:00:00+00:00,7112.329126115853,1.2809938015953475,-0.006404969007976737,12,0.016267294209058838,True,2025-12-11 00:00:00+00:00,3322.9349014394697,0.01607054766790067,0.015070547667900669,107.18669512492727,partial_tp,11211.579420926051,
2025-12-10 20:00:00+00:00,3377.20849148634,-1,2025-12-12 12:00:00+00:00,10668.49368917378,1.2809938015953475,-0.006404969007976737,12,0.05633739575035925,True,2025-12-11 05:00:00+00:00,3211.9886623186076,0.04892201046640671,0.047922010466406706,511.25566623337977,trail,11722.83508715943,True
2025-12-11 14:00:00+00:00,3190.229090837142,-1,2025-12-12 12:00:00+00:00,11292.54854889542,1.9265900210887854,-0.009632950105443927,17,0.010833704164509548,True,2025-12-11 15:00:00+00:00,3156.29822606853,0.010635870905342522,0.009635870905342521,108.81354000946928,partial_tp,11831.6486271689,
