entry_t,expiry,K,S0,S_exp,move_px_entry,move_px_exit,iv_pct,rv_pct,gap_pp,side,n_contracts,notional_budget,pnl_usd,equity_after
2026-05-11 18:45:00+00:00,2026-05-12 12:00:00+00:00,82000,81877.53213975,80751.13540625,664.57337262,1248.8645937499969,22.92427629680486,38.59722092865013,-15.672944631845276,LONG,1.2892571068749072,858.9479585493863,740.9717499779911,22214.670713712647
2026-05-11 16:30:00+00:00,2026-05-12 12:00:00+00:00,81600,81810.13730006,80751.13540625,821.25901947,848.8645937499969,26.66660430332068,38.083509096238835,-11.416904792918158,LONG,1.0322417572485698,849.857198047485,19.87594793564296,21266.305899122766
2026-05-11 14:45:00+00:00,2026-05-12 12:00:00+00:00,80600,80731.5722225,80751.13540625,896.84392636,151.13540625000314,28.268709665573894,37.127861643944556,-8.859151978370662,LONG,0.935475647406708,841.0730917659808,-702.4983163008122,20324.32897784871
2026-05-11 16:15:00+00:00,2026-05-12 12:00:00+00:00,81400,81707.54257874,80751.13540625,879.30668757,648.8645937499969,28.40577671184373,37.92005554911402,-9.51427883727029,LONG,0.969208942528942,854.3624845803923,-230.7535203391596,21128.30859417065
2026-05-11 16:30:00+00:00,2026-05-12 12:00:00+00:00,81800,81810.13730006,80751.13540625,835.28868585,1048.8645937499969,27.122153104604475,38.083509096238835,-10.961355991634363,LONG,1.0158534684684521,850.6522359649107,207.393064611889,21473.698963734656
2026-05-11 10:00:00+00:00,2026-05-12 12:00:00+00:00,80800,80933.42746821,80751.13540625,1018.23627533,48.86459374999686,28.943160290967533,34.71366351086249,-5.770503219894952,LONG,0.8579307728231073,875.760175196915,-836.2364871334418,21057.767892789434
2026-05-11 12:30:00+00:00,2026-05-12 12:00:00+00:00,81200,81278.02468483,80751.13540625,963.64276935,448.86459374999686,28.689368391700555,35.11293493172893,-6.423566540028375,LONG,0.8714755899051773,841.8906287543427,-454.7742465426775,20592.49147231589
2026-05-11 10:15:00+00:00,2026-05-12 12:00:00+00:00,81000,81007.02003678,80751.13540625,1024.99948609,248.86459374999686,29.24989869403284,34.61522058614945,-5.365321892116609,LONG,0.8332701246587919,856.2367031732854,-652.0414249578411,20753.87615437429
2026-05-13 01:30:00+00:00,2026-05-13 12:00:00+00:00,81000,81026.72127819,80464.4330101,515.16187171,535.5669899000059,23.016155806627935,28.296478423209308,-5.2803226165813735,LONG,1.6074264800324758,830.1550461749716,24.355085327671873,20778.231239701963
2026-05-13 04:00:00+00:00,2026-05-13 12:00:00+00:00,81200,81201.34103264,80464.4330101,431.46973649,735.5669899000059,22.037084449558122,27.308854635754408,-5.271770186196287,LONG,1.9042947292529366,823.6996588926356,567.9825067319035,21160.473979047794
