entry_t,entry_px,side,expiry,notional,size_mult,pred_pct,n_strikes,peak_ret,gate_at_entry,exit_t,exit_px,ret,pnl_pct,pnl_usd,exit_reason,equity_after,tp_taken
2026-03-10 13:00:00+00:00,70534.44259831824,-1,2026-03-13 12:00:00+00:00,17099.593817602163,1.7099593817602163,-0.008549796908801081,21,0.009130582276602637,0.006,2026-03-10 15:00:00+00:00,71472.60796166968,-0.013300812040071396,-0.014300812040071397,-244.53807714709544,trail,9755.461922852905,
2026-03-10 18:00:00+00:00,70822.81433256422,-1,2026-03-13 12:00:00+00:00,10972.317968608371,2.249471743189298,-0.01124735871594649,25,0.011581499128552396,0.006,2026-03-10 19:00:00+00:00,70016.58048608401,0.01138381542837809,0.010383815428378091,113.93452460750576,partial_tp,9869.39644746041,True
2026-03-10 18:00:00+00:00,70822.81433256422,-1,2026-03-13 12:00:00+00:00,10972.317968608371,2.249471743189298,-0.01124735871594649,25,0.011581499128552396,0.006,2026-03-10 21:00:00+00:00,70240.8479345348,0.00821721649321448,0.007217216493214481,79.18959421183395,trail,9948.586041672244,True
2026-03-11 05:00:00+00:00,70092.494711837,-1,2026-03-13 12:00:00+00:00,16388.982063294385,1.6473679771823717,-0.008236839885911859,24,0.008639633542601536,0.006,2026-03-11 07:00:00+00:00,69948.1727316989,0.002059021878611105,0.0010590218786111051,17.356290573193725,trail,9965.942332245439,
2026-03-11 13:00:00+00:00,69342.5219657569,1,2026-03-13 12:00:00+00:00,12453.195542633706,2.4991506327185142,0.012495753163592572,22,0.015602611389262581,0.006,2026-03-11 14:00:00+00:00,70410.36149946226,0.0153994908669848,0.0143994908669848,179.31967548092987,partial_tp,10145.26200772637,True
2026-03-11 13:00:00+00:00,69342.5219657569,1,2026-03-13 12:00:00+00:00,12453.195542633706,2.4991506327185142,0.012495753163592572,22,0.01777483603901476,0.006,2026-03-11 16:00:00+00:00,70200.73660586764,0.012376455539568548,0.011376455539568547,141.67322541632555,trail,10286.935233142694,True
2026-03-12 02:00:00+00:00,69746.32406013693,-1,2026-03-13 12:00:00+00:00,13624.492630148401,1.324446234117688,-0.006622231170588439,23,0.007236505249964881,0.006,2026-03-12 04:00:00+00:00,69449.73686426887,0.004252370284236642,0.003252370284236642,44.31189496809579,trail,10331.24712811079,
2026-03-12 14:00:00+00:00,70112.27644145963,-1,2026-03-13 12:00:00+00:00,15492.614419534257,1.4995880194734335,-0.007497940097367168,24,0.008628247372694188,0.006,2026-03-12 16:00:00+00:00,70270.9694396512,-0.002263412432829443,-0.003263412432829443,-50.5587905137408,trail,10280.68833759705,
2026-03-13 00:00:00+00:00,70427.5069114453,1,2026-03-13 12:00:00+00:00,15421.032506395575,3.0,0.015144935819456345,28,0.016618044004259605,0.006,2026-03-13 01:00:00+00:00,71583.55474554592,0.01641472039545869,0.01541472039545869,237.7109042953673,partial_tp,10518.399241892417,True
2026-03-13 00:00:00+00:00,70427.5069114453,1,2026-03-13 12:00:00+00:00,15421.032506395575,3.0,0.015144935819456345,28,0.016618044004259605,0.006,2026-03-13 03:00:00+00:00,71121.11249443753,0.009848503992401114,0.008848503992401113,136.4530676997886,trail,10654.852309592206,True
2026-03-17 15:00:00+00:00,74521.60019463078,-1,2026-03-20 12:00:00+00:00,17022.083534066336,1.5975898153690902,-0.007987949076845451,12,0.007750111117211198,0.006,2026-03-17 17:00:00+00:00,74220.76587158733,0.004036874171485245,0.0030368741714852446,51.69392582947033,trail,10706.546235421676,
2026-03-18 11:00:00+00:00,73863.80772668132,-1,2026-03-20 12:00:00+00:00,13220.22145155278,2.4695585599424823,-0.012347792799712412,16,0.012664391624146043,0.006,2026-03-18 12:00:00+00:00,72942.95321228776,0.012466924502470897,0.011466924502470898,151.59528129090194,partial_tp,10858.141516712578,True
2026-03-18 11:00:00+00:00,73863.80772668132,-1,2026-03-20 12:00:00+00:00,13220.22145155278,2.4695585599424823,-0.012347792799712412,16,0.03810917098949561,0.006,2026-03-18 16:00:00+00:00,71467.65401499846,0.03244015960494965,0.03144015960494965,415.64587244959847,trail,11273.787389162177,True
2026-03-18 18:00:00+00:00,71747.21049760797,-1,2026-03-20 12:00:00+00:00,10148.093108411786,1.8002988273785339,-0.00900149413689267,27,0.010553348007630397,0.006,2026-03-18 20:00:00+00:00,71004.23522409333,0.010355458677232018,0.009355458677232018,94.94006572844948,partial_tp,11368.727454890626,True
2026-03-18 18:00:00+00:00,71747.21049760797,-1,2026-03-20 12:00:00+00:00,10148.093108411786,1.8002988273785339,-0.00900149413689267,27,0.010553348007630397,0.006,2026-03-18 21:00:00+00:00,71200.67852164667,0.007617466549163275,0.0066174665491632746,67.15466668270935,trail,11435.882121573335,True
2026-03-19 12:00:00+00:00,69888.25556505754,-1,2026-03-20 12:00:00+00:00,19538.52959325608,1.7085284183191627,-0.008542642091595814,34,0.00853870868778565,0.006,2026-03-19 14:00:00+00:00,70113.42904200204,-0.003221907244986156,-0.004221907244986156,-82.48985964614425,trail,11353.39226192719,
2026-03-19 14:00:00+00:00,70085.38927833797,-1,2026-03-20 12:00:00+00:00,19778.48000242218,1.7420766891625805,-0.008710383445812903,37,0.009898018935915024,0.006,2026-03-19 18:00:00+00:00,69824.60361324699,0.0037209704872337122,0.002720970487233712,53.816660368932915,trail,11407.208922296124,
2026-03-19 19:00:00+00:00,69844.78864462602,1,2026-03-20 12:00:00+00:00,14533.182710607001,1.2740349378716962,0.006370174689358481,35,0.008835558317942763,0.006,2026-03-19 23:00:00+00:00,70178.82584755591,0.00478256444628228,0.0037825644462822798,54.97270021246637,trail,11462.18162250859,
2026-03-24 13:00:00+00:00,70930.58518020301,-1,2026-03-27 12:00:00+00:00,13093.21014052604,2.2845930332868845,-0.011422965166434422,6,0.01001034839031865,0.006,2026-03-24 14:00:00+00:00,70234.58942008221,0.009812350459996708,0.008812350459996707,115.3819564046982,partial_tp,11577.563578913288,True
2026-03-24 13:00:00+00:00,70930.58518020301,-1,2026-03-27 12:00:00+00:00,13093.21014052604,2.2845930332868845,-0.011422965166434422,6,0.02327079964375793,0.006,2026-03-24 19:00:00+00:00,69487.0484447928,0.020351400340809567,0.019351400340809566,253.37195117566688,trail,11830.935530088955,True
2026-03-24 20:00:00+00:00,69362.35478431746,1,2026-03-27 12:00:00+00:00,13183.552218368726,2.228657604437069,0.011143288022185345,9,0.010023103199773734,0.006,2026-03-24 21:00:00+00:00,70043.56930833509,0.009821098579133766,0.008821098579133765,116.29341374138816,partial_tp,11947.228943830343,True
2026-03-24 20:00:00+00:00,69362.35478431746,1,2026-03-27 12:00:00+00:00,13183.552218368726,2.228657604437069,0.011143288022185345,9,0.020868746837438862,0.006,2026-03-25 02:00:00+00:00,70577.11559133239,0.017513257887397753,0.016513257887397752,217.7033976538975,trail,12164.93234148424,True
2026-03-25 17:00:00+00:00,71277.99049832039,-1,2026-03-27 12:00:00+00:00,16957.846723432944,1.3939943311977288,-0.006969971655988644,5,0.007670376768874697,0.006,2026-03-25 21:00:00+00:00,70960.1166950319,0.004459634749326682,0.003459634749326682,58.66795579814423,trail,12223.600297282384,
2026-03-26 05:00:00+00:00,70746.3335964413,-1,2026-03-27 12:00:00+00:00,12641.948078309391,2.0684491918669847,-0.010342245959334924,8,0.011070679768494587,0.006,2026-03-26 06:00:00+00:00,69977.11621711848,0.01087289390444832,0.009872893904448319,124.81261212269293,partial_tp,12348.412909405077,True
2026-03-26 05:00:00+00:00,70746.3335964413,-1,2026-03-27 12:00:00+00:00,12641.948078309391,2.0684491918669847,-0.010342245959334924,8,0.021720154717510348,0.006,2026-03-26 13:00:00+00:00,69421.48687762131,0.018726719131161158,0.017726719131161157,224.1002628549131,trail,12572.513172259989,True
2026-03-26 17:00:00+00:00,68925.16597297725,-1,2026-03-27 12:00:00+00:00,16150.367916604957,1.284577529991311,-0.006422887649956555,19,0.007038119830388862,0.006,2026-03-26 21:00:00+00:00,68944.84496885142,-0.00028551249164764135,-0.0012855124916476414,-20.761499701500966,trail,12551.751672558488,
