t,equity,gate_mult,size_dampener,rolling_sharpe,signal_health,halted
2026-03-01 00:00:00+00:00,10000.0,1.0,1.0,,1.0,False
2026-03-02 00:00:00+00:00,10000.0,1.0,1.0,,1.0,False
2026-03-03 00:00:00+00:00,10000.0,1.0,1.0,,1.0,False
2026-03-04 00:00:00+00:00,10000.0,1.0,1.0,,1.0,False
2026-03-05 00:00:00+00:00,10000.0,1.0,1.0,,1.0,False
2026-03-06 00:00:00+00:00,10000.0,1.0,1.0,,1.0,False
2026-03-07 00:00:00+00:00,10000.0,1.0,1.0,,1.0,False
2026-03-08 00:00:00+00:00,10000.0,1.0,1.0,,1.0,False
2026-03-09 00:00:00+00:00,10000.0,1.0,1.0,,1.0,False
2026-03-10 00:00:00+00:00,10000.0,1.0,1.0,,1.0,False
2026-03-11 00:00:00+00:00,9948.586041672244,1.0,1.0,,1.0,False
2026-03-12 00:00:00+00:00,10286.935233142694,1.0,1.0,5.950949524802942,1.0,False
2026-03-13 00:00:00+00:00,10280.68833759705,1.0,1.0,4.991295062113496,1.0,False
2026-03-14 00:00:00+00:00,10654.852309592206,1.0,1.0,9.147773960280752,1.0,False
2026-03-15 00:00:00+00:00,10654.852309592206,1.0,1.0,9.147773960280752,1.0,False
2026-03-16 00:00:00+00:00,10654.852309592206,1.0,1.0,9.147773960280752,1.0,False
2026-03-17 00:00:00+00:00,10654.852309592206,1.0,1.0,9.147773960280752,1.0,False
2026-03-18 00:00:00+00:00,10706.546235421676,1.0,1.0,9.45313332987874,1.0,False
2026-03-19 00:00:00+00:00,11435.882121573335,1.0,1.0,12.801870019620692,1.0,False
2026-03-20 00:00:00+00:00,11462.18162250859,1.0,1.0,11.363057200978073,1.0,False
2026-03-21 00:00:00+00:00,11462.18162250859,1.0,1.0,11.363057200978073,1.0,False
2026-03-22 00:00:00+00:00,11462.18162250859,1.0,1.0,11.363057200978073,1.0,False
2026-03-23 00:00:00+00:00,11462.18162250859,1.0,1.0,11.363057200978073,1.0,False
2026-03-24 00:00:00+00:00,11462.18162250859,1.0,1.0,11.363057200978073,1.0,False
2026-03-25 00:00:00+00:00,11947.228943830343,1.0,1.0,19.15765761416157,1.0,False
2026-03-26 00:00:00+00:00,12223.600297282384,1.0,1.0,19.339390212291985,1.0,False
2026-03-27 00:00:00+00:00,12551.751672558488,1.0,1.0,18.64054194939111,1.0,False
2026-03-28 00:00:00+00:00,12551.751672558488,1.0,1.0,18.64054194939111,1.0,False
2026-03-29 00:00:00+00:00,12626.267950674794,1.0,1.0,19.012000314784963,1.0,False
2026-03-30 00:00:00+00:00,12626.267950674794,1.0,1.0,19.012000314784963,1.0,False
2026-03-31 00:00:00+00:00,12966.066716729321,1.0,1.0,20.479861006066987,1.0,False
2026-04-01 00:00:00+00:00,13378.51055005343,1.0,1.0,20.651420072689398,1.0,False
2026-04-02 00:00:00+00:00,13640.89802273319,1.0,1.0,22.03609824783572,1.0,False
2026-04-03 00:00:00+00:00,13441.384044760376,1.0,1.0,8.555482688997444,1.0,False
2026-04-04 00:00:00+00:00,13441.384044760376,1.0,1.0,8.555482688997444,1.0,False
2026-04-05 00:00:00+00:00,13441.384044760376,1.0,1.0,8.555482688997444,1.0,False
2026-04-06 00:00:00+00:00,13441.384044760376,1.0,1.0,8.555482688997444,1.0,False
2026-04-07 00:00:00+00:00,13441.384044760376,1.0,1.0,8.555482688997444,1.0,False
2026-04-08 00:00:00+00:00,13583.56536075404,1.0,1.0,7.4120117517520585,1.0,False
2026-04-09 00:00:00+00:00,14370.15967771069,1.0,1.0,8.6946693585703,1.0,False
2026-04-10 00:00:00+00:00,14867.666900557977,1.0,1.0,10.005961956150795,1.0,False
2026-04-11 00:00:00+00:00,14867.666900557977,1.0,1.0,10.005961956150795,1.0,False
2026-04-12 00:00:00+00:00,14867.666900557977,1.0,1.0,10.005961956150795,1.0,False
2026-04-13 00:00:00+00:00,14867.666900557977,1.0,1.0,10.005961956150795,1.0,False
2026-04-14 00:00:00+00:00,14867.666900557977,1.0,1.0,10.005961956150795,1.0,False
2026-04-15 00:00:00+00:00,15128.739332768142,1.0,1.0,9.016829790856697,1.0,False
2026-04-16 00:00:00+00:00,15271.506374824925,1.0,1.0,8.907332842593785,1.0,False
2026-04-17 00:00:00+00:00,15602.417466984343,1.0,1.0,10.72227900227394,1.0,False
2026-04-18 00:00:00+00:00,15602.417466984343,1.0,1.0,10.72227900227394,1.0,False
