t,expiry,raw,alpha,spot,fund,tt,spot_at_expiry,real_pct
2026-03-10 12:00:00+00:00,2026-03-13 12:00:00+00:00,-0.06577186038903904,-0.09462458911162952,70596.73282062,-0.03509909,71.99999999999999,72217.13988644,2.2953003645895373
2026-03-10 13:00:00+00:00,2026-03-13 12:00:00+00:00,-0.8548922270158903,-0.8912599079746217,70548.55230878,-0.04486239,71.0,72217.13988644,2.3651620381334735
2026-03-10 14:00:00+00:00,2026-03-13 12:00:00+00:00,2.2950571790595102,2.2674559585229495,69890.42206684,-0.03453619,70.0,72217.13988644,3.329093959934647
2026-03-10 15:00:00+00:00,2026-03-13 12:00:00+00:00,-0.12283933418392268,-0.16357211300219204,71458.31629841,-0.05170239,69.0,72217.13988644,1.0619108136569335
2026-03-10 16:00:00+00:00,2026-03-13 12:00:00+00:00,-0.08089538636962974,-0.12409959752354516,71352.87573293,-0.05564517,68.0,72217.13988644,1.211253428305948
2026-03-10 17:00:00+00:00,2026-03-13 12:00:00+00:00,-0.4233558332549485,-0.4597675531787128,71196.92739854,-0.0475983,67.0,72217.13988644,1.4329445457514367
2026-03-10 18:00:00+00:00,2026-03-13 12:00:00+00:00,-1.1247142311610479,-1.161098489038021,70836.98172891,-0.04828305,66.0,72217.13988644,1.9483582217150324
2026-03-10 19:00:00+00:00,2026-03-13 12:00:00+00:00,0.08709925645034759,0.04965537183575961,70002.57997009,-0.05045339,65.0,72217.13988644,3.163540425647478
2026-03-10 20:00:00+00:00,2026-03-13 12:00:00+00:00,0.34396255290375777,0.3010357456386751,70024.63164279,-0.05874346,64.0,72217.13988644,3.1310528769853843
2026-03-10 21:00:00+00:00,2026-03-13 12:00:00+00:00,-0.6316946698554504,-0.6740012124403262,70226.80257402,-0.0588138,63.0,72217.13988644,2.8341562472848714
2026-03-10 22:00:00+00:00,2026-03-13 12:00:00+00:00,-0.03856497214095256,-0.07583865906306715,69765.14698794,-0.0526543,62.0,72217.13988644,3.514638762137011
2026-03-10 23:00:00+00:00,2026-03-13 12:00:00+00:00,0.3693990146758176,0.32908622058999265,69714.78159356,-0.05788015,61.00000000000001,72217.13988644,3.589422839289454
2026-03-11 00:00:00+00:00,2026-03-13 12:00:00+00:00,0.37271581319939456,0.3380023785217428,69808.25553028,-0.05067282,60.0,72217.13988644,3.4507155892401817
2026-03-11 01:00:00+00:00,2026-03-13 12:00:00+00:00,0.12130802743799218,0.08959198743555083,70006.7244465,-0.04708279,59.0,72217.13988644,3.1574330286360226
2026-03-11 02:00:00+00:00,2026-03-13 12:00:00+00:00,-0.26492442874664884,-0.288388783707273,70022.64995253,-0.03543511,58.0,72217.13988644,3.1339715583424654
2026-03-11 03:00:00+00:00,2026-03-13 12:00:00+00:00,-0.3511565867752482,-0.38032474019658563,69822.14549116,-0.04482031,57.0,72217.13988644,3.4301357806073414
2026-03-11 04:00:00+00:00,2026-03-13 12:00:00+00:00,0.951792076379406,0.9180918064198377,69491.33640259,-0.05270797,56.0,72217.13988644,3.922508365731199
2026-03-11 05:00:00+00:00,2026-03-13 12:00:00+00:00,-0.8236292375249834,-0.8566895568379705,70106.51601504,-0.05264737,55.0,72217.13988644,3.0105958637955967
2026-03-11 06:00:00+00:00,2026-03-13 12:00:00+00:00,0.6966023584987968,0.6670229983671839,69486.92124344,-0.0479772,54.0,72217.13988644,3.9291115423504968
2026-03-11 07:00:00+00:00,2026-03-13 12:00:00+00:00,-0.36847633017227827,-0.3946469975872325,69934.18589452,-0.04325001,53.0,72217.13988644,3.2644320695508293
2026-03-11 08:00:00+00:00,2026-03-13 12:00:00+00:00,0.05075518113952781,0.024474911586609763,69641.43420713,-0.04426633,52.0,72217.13988644,3.6985247484266863
2026-03-11 09:00:00+00:00,2026-03-13 12:00:00+00:00,-0.09008471728392446,-0.11645202572449062,69546.68548555,-0.04528376,51.0,72217.13988644,3.8398011094933473
2026-03-11 10:00:00+00:00,2026-03-13 12:00:00+00:00,0.3334932075215966,0.30687876468052494,69392.14701847,-0.0466223,49.99999999999999,72217.13988644,4.071055572351827
2026-03-11 11:00:00+00:00,2026-03-13 12:00:00+00:00,-0.4958858911774942,-0.5166529998685974,69532.35519189,-0.03712265,49.0,72217.13988644,3.8612020075268996
2026-03-11 12:00:00+00:00,2026-03-13 12:00:00+00:00,0.27190818844399456,0.25043262250045245,69192.65973071,-0.0391887,48.0,72217.13988644,4.37109971997164
2026-03-11 13:00:00+00:00,2026-03-13 12:00:00+00:00,1.2501773889403183,1.2217365157244473,69328.65623451,-0.05300141,47.0,72217.13988644,4.166363245465861
2026-03-11 14:00:00+00:00,2026-03-13 12:00:00+00:00,0.24682699158255333,0.22118419707401024,70424.44638874,-0.04882654,46.0,72217.13988644,2.54555568361077
2026-03-11 15:00:00+00:00,2026-03-13 12:00:00+00:00,-0.45440607221226864,-0.4839946302696744,70575.07392423,-0.05759054,45.0,72217.13988644,2.326693931589683
2026-03-11 16:00:00+00:00,2026-03-13 12:00:00+00:00,0.5362410296235559,0.5177102448491993,70214.77956178,-0.03688969,44.0,72217.13988644,2.8517647383599285
2026-03-11 17:00:00+00:00,2026-03-13 12:00:00+00:00,0.31958956714736625,0.3007931880639655,70578.17559044,-0.03828856,43.0,72217.13988644,2.3221970280314146
