symbol,id,state,settlement_time,strike_price,contract_type,settlement_dt,underlying_asset_symbol,source,product_id,mark_price,spot_price,oi,oi_value_usd,spot_ref,moneyness_dev
C-ETH-2060-290526,135838.0,expired,2026-05-29T12:00:00Z,2060,call_options,2026-05-29 12:00:00+00:00,ETH,settled,,,,,,2006.54797856,0.0266387955888101
P-ETH-2040-290526,135836.0,expired,2026-05-29T12:00:00Z,2040,put_options,2026-05-29 12:00:00+00:00,ETH,settled,,,,,,2006.54797856,0.016671428641345926
P-ETH-2060-290526,135835.0,expired,2026-05-29T12:00:00Z,2060,put_options,2026-05-29 12:00:00+00:00,ETH,settled,,,,,,2006.54797856,0.0266387955888101
C-ETH-2080-290526,135833.0,expired,2026-05-29T12:00:00Z,2080,call_options,2026-05-29 12:00:00+00:00,ETH,settled,,,,,,2006.54797856,0.03660616253627428
P-ETH-2080-290526,135828.0,expired,2026-05-29T12:00:00Z,2080,put_options,2026-05-29 12:00:00+00:00,ETH,settled,,,,,,2006.54797856,0.03660616253627428
C-ETH-2220-220526,135129.0,expired,2026-05-22T12:00:00Z,2220,call_options,2026-05-22 12:00:00+00:00,ETH,settled,,,,,,2128.87903994,0.04280231913155956
P-ETH-2220-220526,135128.0,expired,2026-05-22T12:00:00Z,2220,put_options,2026-05-22 12:00:00+00:00,ETH,settled,,,,,,2128.87903994,0.04280231913155956
C-ETH-2040-220526,135116.0,expired,2026-05-22T12:00:00Z,2040,call_options,2026-05-22 12:00:00+00:00,ETH,settled,,,,,,2128.87903994,0.04174922025748581
C-ETH-2060-220526,135115.0,expired,2026-05-22T12:00:00Z,2060,call_options,2026-05-22 12:00:00+00:00,ETH,settled,,,,,,2128.87903994,0.032354604769814096
C-ETH-2080-220526,135114.0,expired,2026-05-22T12:00:00Z,2080,call_options,2026-05-22 12:00:00+00:00,ETH,settled,,,,,,2128.87903994,0.022959989282142393
C-ETH-2120-220526,135113.0,expired,2026-05-22T12:00:00Z,2120,call_options,2026-05-22 12:00:00+00:00,ETH,settled,,,,,,2128.87903994,0.004170758306798976
C-ETH-2140-220526,135112.0,expired,2026-05-22T12:00:00Z,2140,call_options,2026-05-22 12:00:00+00:00,ETH,settled,,,,,,2128.87903994,0.005223857180872732
C-ETH-2160-220526,135111.0,expired,2026-05-22T12:00:00Z,2160,call_options,2026-05-22 12:00:00+00:00,ETH,settled,,,,,,2128.87903994,0.014618472668544439
C-ETH-2180-220526,135110.0,expired,2026-05-22T12:00:00Z,2180,call_options,2026-05-22 12:00:00+00:00,ETH,settled,,,,,,2128.87903994,0.024013088156216146
P-ETH-2040-220526,135108.0,expired,2026-05-22T12:00:00Z,2040,put_options,2026-05-22 12:00:00+00:00,ETH,settled,,,,,,2128.87903994,0.04174922025748581
P-ETH-2060-220526,135107.0,expired,2026-05-22T12:00:00Z,2060,put_options,2026-05-22 12:00:00+00:00,ETH,settled,,,,,,2128.87903994,0.032354604769814096
P-ETH-2080-220526,135106.0,expired,2026-05-22T12:00:00Z,2080,put_options,2026-05-22 12:00:00+00:00,ETH,settled,,,,,,2128.87903994,0.022959989282142393
P-ETH-2120-220526,135105.0,expired,2026-05-22T12:00:00Z,2120,put_options,2026-05-22 12:00:00+00:00,ETH,settled,,,,,,2128.87903994,0.004170758306798976
P-ETH-2140-220526,135104.0,expired,2026-05-22T12:00:00Z,2140,put_options,2026-05-22 12:00:00+00:00,ETH,settled,,,,,,2128.87903994,0.005223857180872732
P-ETH-2160-220526,135103.0,expired,2026-05-22T12:00:00Z,2160,put_options,2026-05-22 12:00:00+00:00,ETH,settled,,,,,,2128.87903994,0.014618472668544439
P-ETH-2180-220526,135102.0,expired,2026-05-22T12:00:00Z,2180,put_options,2026-05-22 12:00:00+00:00,ETH,settled,,,,,,2128.87903994,0.024013088156216146
C-ETH-1950-290526,135077.0,expired,2026-05-29T12:00:00Z,1950,call_options,2026-05-29 12:00:00+00:00,ETH,settled,,,,,,2006.54797856,0.028181722622242868
P-ETH-1950-290526,135076.0,expired,2026-05-29T12:00:00Z,1950,put_options,2026-05-29 12:00:00+00:00,ETH,settled,,,,,,2006.54797856,0.028181722622242868
C-ETH-2050-290526,134737.0,expired,2026-05-29T12:00:00Z,2050,call_options,2026-05-29 12:00:00+00:00,ETH,settled,,,,,,2006.54797856,0.021655112115078014
P-ETH-2050-290526,134736.0,expired,2026-05-29T12:00:00Z,2050,put_options,2026-05-29 12:00:00+00:00,ETH,settled,,,,,,2006.54797856,0.021655112115078014
C-ETH-2050-220526,134594.0,expired,2026-05-22T12:00:00Z,2050,call_options,2026-05-22 12:00:00+00:00,ETH,settled,,,,,,2128.87903994,0.037051912513649955
