entry_t,entry_px,side,expiry,notional,size_mult,pred_pct,n_strikes,peak_ret,tp_taken,exit_t,exit_px,ret,pnl_pct,pnl_usd,exit_reason,equity_after,pyramided
2025-12-09 16:00:00+00:00,92966.19139551502,1,2025-12-12 12:00:00+00:00,13697.20801215762,2.739441602431524,0.013697208012157621,38,0.014183794947617775,True,2025-12-09 17:00:00+00:00,94265.94783037173,0.013980958188628287,0.012980958188628287,177.80288450676244,partial_tp,10177.802884506762,
2025-12-09 16:00:00+00:00,92966.19139551502,1,2025-12-12 12:00:00+00:00,13697.20801215762,2.739441602431524,0.013697208012157621,38,0.014183794947617775,True,2025-12-09 18:00:00+00:00,93954.08912962873,0.010626419338948699,0.0096264193389487,131.85506809783718,trail,10309.657952604599,
2025-12-11 01:00:00+00:00,91303.5231784928,-1,2025-12-12 12:00:00+00:00,7107.091347533252,1.3787249548347507,-0.006893624774173754,39,0.014752009816419356,True,2025-12-11 03:00:00+00:00,89974.60403083166,0.014554960218382694,0.013554960218382695,96.33634048422509,partial_tp,10405.994293088825,
2025-12-11 01:00:00+00:00,91303.5231784928,-1,2025-12-12 12:00:00+00:00,7107.091347533252,1.3787249548347507,-0.006893624774173754,39,0.01705188240544856,True,2025-12-11 05:00:00+00:00,90335.19274550393,0.010605619578292189,0.009605619578292188,68.2680157925764,trail,10474.262308881402,
2025-12-11 14:00:00+00:00,90081.34799139701,-1,2025-12-12 12:00:00+00:00,12648.899890704177,1.2076172543415151,-0.0060380862717075755,38,0.007801721469178325,,2025-12-11 16:00:00+00:00,89877.793559349,0.0022596734683349895,0.0012596734683349895,15.9334835959454,trail,10490.195792477347,
2025-12-11 18:00:00+00:00,89894.16829092047,1,2025-12-12 12:00:00+00:00,9769.980163430748,1.8626878576350168,0.009313439288175084,38,0.010965588996267494,True,2025-12-11 20:00:00+00:00,90861.7348114013,0.010763395878468331,0.00976339587846833,95.3881840603571,partial_tp,10585.583976537704,
2025-12-11 18:00:00+00:00,89894.16829092047,1,2025-12-12 12:00:00+00:00,14654.970245146122,1.8626878576350168,0.009313439288175084,38,0.0355140740442445,True,2025-12-11 23:00:00+00:00,92548.83910861418,0.029531068234621382,0.02853106823462138,418.12195604061003,trail,11003.705932578314,True
2025-12-12 00:00:00+00:00,92495.2390436516,-1,2025-12-12 12:00:00+00:00,22121.41776797955,2.010360682439303,-0.010051803412196516,45,0.0075333713740959075,,2025-12-12 03:00:00+00:00,92539.7839594407,-0.00048159144459398366,-0.0014815914445939836,-32.77490330732784,trail,10970.931029270985,
2025-12-16 13:00:00+00:00,87088.63520647645,-1,2025-12-19 12:00:00+00:00,15972.294177973547,1.4558740853769545,-0.007279370426884773,24,0.007751130853021507,,2025-12-16 15:00:00+00:00,87310.52506386011,-0.0025478623801784193,-0.0035478623801784193,-56.667501639175136,trail,10914.26352763181,
2025-12-16 15:00:00+00:00,87310.52506386011,1,2025-12-19 12:00:00+00:00,18000.29821447809,1.6492453356020274,0.008246226678010136,26,0.0060247611444914,,2025-12-16 17:00:00+00:00,87503.4617793555,0.002209776145021041,0.0012097761450210408,21.77633138314043,trail,10936.03985901495,
2025-12-17 13:00:00+00:00,87058.50424600537,1,2025-12-19 12:00:00+00:00,11552.328566461721,1.4084718923719899,0.007042359461859949,30,0.030000030465541516,True,2025-12-17 15:00:00+00:00,89652.32797326487,0.029794030459448378,0.028794030459448377,332.6381006202544,partial_tp,11268.677959635204,True
2025-12-17 13:00:00+00:00,87058.50424600537,1,2025-12-19 12:00:00+00:00,11552.328566461721,1.4084718923719899,0.007042359461859949,30,0.030000030465541516,True,2025-12-17 16:00:00+00:00,87141.79200447016,0.0009566872206929243,-4.331277930707568e-05,-0.5003634576819825,trail,11268.177596177522,True
