close,high,low,open,time,volume,timestamp
0.0,0.0,0.0,0.0,1773842400,,2026-03-18 14:00:00+00:00
0.32,0.35,0.0,0.0,1773846000,,2026-03-18 15:00:00+00:00
1.0,1.0,0.32,0.32,1773849600,,2026-03-18 16:00:00+00:00
1.016,1.016,1.0,1.0,1773853200,,2026-03-18 17:00:00+00:00
1.0,1.016,1.0,1.016,1773856800,,2026-03-18 18:00:00+00:00
1.002,1.086,1.0,1.0,1773860400,,2026-03-18 19:00:00+00:00
1.151,1.151,1.002,1.002,1773864000,,2026-03-18 20:00:00+00:00
1.151,1.151,1.151,1.151,1773867600,,2026-03-18 21:00:00+00:00
1.151,1.151,1.151,1.151,1773871200,,2026-03-18 22:00:00+00:00
1.151,1.163,1.151,1.151,1773874800,,2026-03-18 23:00:00+00:00
1.161,1.161,1.151,1.151,1773878400,,2026-03-19 00:00:00+00:00
1.193,1.193,1.161,1.161,1773882000,,2026-03-19 01:00:00+00:00
1.183,1.223,1.183,1.193,1773885600,,2026-03-19 02:00:00+00:00
1.184,1.184,1.183,1.183,1773889200,,2026-03-19 03:00:00+00:00
1.471,2.04,1.184,1.184,1773892800,,2026-03-19 04:00:00+00:00
3.045,3.104,1.471,1.471,1773896400,,2026-03-19 05:00:00+00:00
5.84,6.05,3.145,3.145,1773900000,,2026-03-19 06:00:00+00:00
0.536,5.84,0.521,5.84,1773903600,,2026-03-19 07:00:00+00:00
0.536,0.536,0.536,0.536,1773907200,,2026-03-19 08:00:00+00:00
0.515,0.56,0.515,0.536,1773910800,,2026-03-19 09:00:00+00:00
0.518,0.518,0.493,0.515,1773914400,,2026-03-19 10:00:00+00:00
1.714,1.764,0.513,0.518,1773918000,,2026-03-19 11:00:00+00:00
2.616,2.617,1.694,1.694,1773921600,,2026-03-19 12:00:00+00:00
0.545,2.611,0.545,2.611,1773925200,,2026-03-19 13:00:00+00:00
0.541,0.541,0.541,0.541,1773928800,,2026-03-19 14:00:00+00:00
0.549,0.746,0.537,0.541,1773932400,,2026-03-19 15:00:00+00:00
0.509,0.549,0.509,0.549,1773936000,,2026-03-19 16:00:00+00:00
0.502,0.517,0.492,0.509,1773939600,,2026-03-19 17:00:00+00:00
0.502,0.502,0.502,0.502,1773943200,,2026-03-19 18:00:00+00:00
0.47,0.523,0.247,0.502,1773946800,,2026-03-19 19:00:00+00:00
2.443,2.443,0.424,0.424,1773950400,,2026-03-19 20:00:00+00:00
1.444,2.899,0.444,2.443,1773954000,,2026-03-19 21:00:00+00:00
0.425,1.482,0.425,1.444,1773957600,,2026-03-19 22:00:00+00:00
0.424,1.424,0.424,0.425,1773961200,,2026-03-19 23:00:00+00:00
0.424,0.424,0.424,0.424,1773964800,,2026-03-20 00:00:00+00:00
0.591,0.591,0.424,0.424,1773968400,,2026-03-20 01:00:00+00:00
10.532,10.532,0.49,0.591,1773972000,,2026-03-20 02:00:00+00:00
22.999,22.999,10.487,10.532,1773975600,,2026-03-20 03:00:00+00:00
15.935,25.747,14.944,22.999,1773979200,,2026-03-20 04:00:00+00:00
16.372,17.993,15.439,15.934,1773982800,,2026-03-20 05:00:00+00:00
15.779,16.429,15.534,16.372,1773986400,,2026-03-20 06:00:00+00:00
17.734,17.734,15.04,15.727,1773990000,,2026-03-20 07:00:00+00:00
30.474,46.022,17.734,17.734,1773993600,,2026-03-20 08:00:00+00:00
18.9,30.474,18.161,30.474,1773997200,,2026-03-20 09:00:00+00:00
14.713,19.119,13.478,18.9,1774000800,,2026-03-20 10:00:00+00:00
24.086,59.885,14.661,14.713,1774004400,,2026-03-20 11:00:00+00:00
