close,high,low,open,time,volume,timestamp
0.053,0.053,0.0,0.0,1766923200,,2025-12-28 12:00:00+00:00
0.069,0.069,0.053,0.053,1766926800,,2025-12-28 13:00:00+00:00
0.069,0.069,0.069,0.069,1766930400,,2025-12-28 14:00:00+00:00
0.069,0.069,0.069,0.069,1766934000,,2025-12-28 15:00:00+00:00
0.053,0.069,0.053,0.069,1766937600,,2025-12-28 16:00:00+00:00
0.053,0.053,0.053,0.053,1766941200,,2025-12-28 17:00:00+00:00
0.053,0.053,0.053,0.053,1766944800,,2025-12-28 18:00:00+00:00
0.053,0.053,0.053,0.053,1766948400,,2025-12-28 19:00:00+00:00
0.053,0.053,0.053,0.053,1766952000,,2025-12-28 20:00:00+00:00
0.053,0.053,0.053,0.053,1766955600,,2025-12-28 21:00:00+00:00
0.053,0.053,0.053,0.053,1766959200,,2025-12-28 22:00:00+00:00
0.053,0.053,0.053,0.053,1766962800,,2025-12-28 23:00:00+00:00
0.053,0.053,0.053,0.053,1766966400,,2025-12-29 00:00:00+00:00
0.057,0.057,0.053,0.053,1766970000,,2025-12-29 01:00:00+00:00
0.237,0.237,0.057,0.057,1766973600,,2025-12-29 02:00:00+00:00
0.991,0.992,0.237,0.237,1766977200,,2025-12-29 03:00:00+00:00
0.966,0.991,0.966,0.991,1766980800,,2025-12-29 04:00:00+00:00
0.966,0.966,0.966,0.966,1766984400,,2025-12-29 05:00:00+00:00
1.172,1.172,0.966,0.966,1766988000,,2025-12-29 06:00:00+00:00
1.292,1.292,1.202,1.202,1766991600,,2025-12-29 07:00:00+00:00
0.821,1.292,0.821,1.292,1766995200,,2025-12-29 08:00:00+00:00
1.512,1.514,0.821,0.821,1766998800,,2025-12-29 09:00:00+00:00
1.52,1.54,1.518,1.518,1767002400,,2025-12-29 10:00:00+00:00
1.52,1.521,1.52,1.52,1767006000,,2025-12-29 11:00:00+00:00
0.736,2.522,0.733,1.52,1767009600,,2025-12-29 12:00:00+00:00
0.738,0.738,0.736,0.736,1767013200,,2025-12-29 13:00:00+00:00
0.76,0.76,0.738,0.738,1767016800,,2025-12-29 14:00:00+00:00
0.907,0.907,0.757,0.76,1767020400,,2025-12-29 15:00:00+00:00
0.955,0.967,0.907,0.907,1767024000,,2025-12-29 16:00:00+00:00
0.955,0.955,0.955,0.955,1767027600,,2025-12-29 17:00:00+00:00
1.0,1.02,0.865,0.955,1767031200,,2025-12-29 18:00:00+00:00
1.751,1.751,1.0,1.0,1767034800,,2025-12-29 19:00:00+00:00
2.027,2.077,1.751,1.751,1767038400,,2025-12-29 20:00:00+00:00
2.407,2.407,2.027,2.027,1767042000,,2025-12-29 21:00:00+00:00
2.407,2.407,2.407,2.407,1767045600,,2025-12-29 22:00:00+00:00
2.407,2.407,2.406,2.407,1767049200,,2025-12-29 23:00:00+00:00
2.042,2.412,2.032,2.407,1767052800,,2025-12-30 00:00:00+00:00
2.158,2.163,2.042,2.042,1767056400,,2025-12-30 01:00:00+00:00
3.729,3.729,2.158,2.158,1767060000,,2025-12-30 02:00:00+00:00
3.829,3.829,3.4,3.729,1767063600,,2025-12-30 03:00:00+00:00
3.979,4.009,3.619,3.829,1767067200,,2025-12-30 04:00:00+00:00
3.863,4.0,3.79,3.979,1767070800,,2025-12-30 05:00:00+00:00
4.173,4.173,3.638,3.863,1767074400,,2025-12-30 06:00:00+00:00
5.508,5.508,4.187,4.188,1767078000,,2025-12-30 07:00:00+00:00
5.453,5.623,5.156,5.568,1767081600,,2025-12-30 08:00:00+00:00
5.026,6.527,4.44,5.453,1767085200,,2025-12-30 09:00:00+00:00
