close,high,low,open,time,volume,timestamp
0.092,0.092,0.0,0.0,1770292800,,2026-02-05 12:00:00+00:00
0.113,0.164,0.092,0.092,1770296400,,2026-02-05 13:00:00+00:00
0.658,0.684,0.113,0.113,1770300000,,2026-02-05 14:00:00+00:00
0.54,2.286,0.458,0.668,1770303600,,2026-02-05 15:00:00+00:00
0.693,0.698,0.458,0.606,1770307200,,2026-02-05 16:00:00+00:00
0.491,0.693,0.491,0.693,1770310800,,2026-02-05 17:00:00+00:00
0.352,0.489,0.352,0.488,1770314400,,2026-02-05 18:00:00+00:00
0.289,0.352,0.289,0.352,1770318000,,2026-02-05 19:00:00+00:00
0.252,0.289,0.252,0.289,1770321600,,2026-02-05 20:00:00+00:00
0.152,0.252,0.152,0.252,1770325200,,2026-02-05 21:00:00+00:00
0.152,0.152,0.152,0.152,1770328800,,2026-02-05 22:00:00+00:00
0.152,0.152,0.152,0.152,1770332400,,2026-02-05 23:00:00+00:00
0.152,0.152,0.152,0.152,1770336000,,2026-02-06 00:00:00+00:00
0.152,0.152,0.152,0.152,1770339600,,2026-02-06 01:00:00+00:00
0.043,0.152,0.043,0.152,1770343200,,2026-02-06 02:00:00+00:00
0.043,0.043,0.043,0.043,1770346800,,2026-02-06 03:00:00+00:00
0.043,0.043,0.043,0.043,1770350400,,2026-02-06 04:00:00+00:00
0.043,0.043,0.043,0.043,1770354000,,2026-02-06 05:00:00+00:00
0.043,0.043,0.043,0.043,1770357600,,2026-02-06 06:00:00+00:00
0.043,0.043,0.043,0.043,1770361200,,2026-02-06 07:00:00+00:00
0.043,0.043,0.043,0.043,1770364800,,2026-02-06 08:00:00+00:00
0.043,0.043,0.043,0.043,1770368400,,2026-02-06 09:00:00+00:00
0.043,0.043,0.043,0.043,1770372000,,2026-02-06 10:00:00+00:00
0.043,0.043,0.043,0.043,1770375600,,2026-02-06 11:00:00+00:00
