date,entry_dt,exit_dt,strike,iv_atm,rv_60m,iv_rv_ratio,iv_mom3,iv_rank,entry_premium,exit_premium,reason,pnl
2026-05-06,2026-05-06 14:34:33,2026-05-06 14:49:33,24450,0.1315,0.2556,0.514,0.0036,,160.15,182.7,TP,1465.75
2026-05-06,2026-05-06 14:49:33,2026-05-06 15:09:33,24500,0.1334,0.2108,0.633,0.0019,,163.45,153.4,SL,-653.25
2026-05-06,2026-05-06 15:09:33,2026-05-06 15:24:00,24450,0.1323,0.2109,0.627,0.0007,,172.3,173.6,EOD,84.5
2026-05-07,2026-05-07 09:35:13,2026-05-07 09:50:13,24400,0.1324,0.3229,0.41,0.0025,,172.2,162.2,SL,-650.0
2026-05-07,2026-05-07 09:50:13,2026-05-07 11:15:13,24400,0.1307,0.2886,0.453,-0.0017,,157.95,147.9,SL,-653.25
2026-05-07,2026-05-07 12:40:13,2026-05-07 12:50:13,24500,0.134,0.1807,0.742,0.0054,,175.7,165.7,SL,-650.0
2026-05-07,2026-05-07 12:50:13,2026-05-07 12:55:13,24500,0.1294,0.175,0.739,-0.0012,,158.95,148.9,SL,-653.25
2026-05-08,2026-05-08 09:35:18,2026-05-08 09:45:18,24200,0.1372,0.2538,0.54,0.0024,,174.25,164.2,SL,-653.25
2026-05-08,2026-05-08 09:45:18,2026-05-08 10:00:18,24150,0.1385,0.2189,0.633,0.0007,,177.3,199.8,TP,1462.5
2026-05-08,2026-05-08 10:00:18,2026-05-08 10:30:18,24200,0.1358,0.21,0.647,-0.0027,,172.0,194.5,TP,1462.5
2026-05-11,2026-05-11 09:35:04,2026-05-11 09:40:04,23850,0.2074,0.5084,0.408,-0.0047,,169.6,159.6,SL,-650.0
2026-05-11,2026-05-11 09:40:04,2026-05-11 10:00:04,23800,0.2097,0.4642,0.452,0.001,,183.55,173.6,SL,-646.75
2026-05-11,2026-05-11 10:00:04,2026-05-11 10:20:04,23800,0.2059,0.3849,0.535,-0.0032,,173.15,163.2,SL,-646.75
2026-05-12,2026-05-12 09:35:02,2026-05-12 10:20:02,23500,0.1088,0.2315,0.47,-0.0012,,159.3,181.8,TP,1462.5
2026-05-12,2026-05-12 10:20:02,2026-05-12 10:25:02,23500,0.0966,0.1248,0.774,-0.0035,,185.0,175.0,SL,-650.0
2026-05-12,2026-05-12 10:25:02,2026-05-12 10:30:02,23500,0.0911,0.1155,0.789,-0.0083,,148.75,138.8,SL,-646.75
2026-05-12,2026-05-12 10:50:02,2026-05-12 11:05:02,23450,0.0889,0.1067,0.833,-0.0032,,173.1,163.1,SL,-650.0
2026-05-13,2026-05-13 09:35:30,2026-05-13 09:41:13,23550,0.1648,0.2814,0.586,0.0054,0.766,160.4,150.4,SL,-650.0
2026-05-13,2026-05-13 09:41:13,2026-05-13 09:52:14,23450,0.169,0.2858,0.591,0.0104,0.79,179.3,201.8,TP,1462.5
2026-05-13,2026-05-13 09:52:14,2026-05-13 10:07:14,23550,0.1682,0.2596,0.648,-0.0008,0.781,164.9,187.4,TP,1462.5
2026-05-13,2026-05-13 10:07:14,2026-05-13 11:02:14,23600,0.1678,0.2482,0.676,-0.0004,0.775,172.4,162.4,SL,-650.0
2026-05-14,2026-05-14 09:35:06,2026-05-14 09:40:06,23650,0.1484,0.28,0.53,-0.0002,0.594,160.75,150.8,SL,-646.75
2026-05-14,2026-05-14 09:40:06,2026-05-14 09:50:06,23600,0.1493,0.2916,0.512,0.0019,0.596,165.9,155.9,SL,-650.0
2026-05-14,2026-05-14 09:50:06,2026-05-14 09:55:06,23550,0.1511,0.2668,0.567,0.0027,0.599,179.3,169.3,SL,-650.0
2026-05-14,2026-05-14 09:55:06,2026-05-14 10:50:06,23550,0.1506,0.2591,0.581,0.0014,0.599,168.4,158.4,SL,-650.0
2026-05-15,2026-05-15 09:35:11,2026-05-15 09:45:11,23750,0.1471,0.1915,0.768,0.0021,0.555,176.0,198.5,TP,1462.5
2026-05-15,2026-05-15 09:45:11,2026-05-15 10:10:11,23800,0.1452,0.1747,0.832,-0.0005,0.532,179.0,169.0,SL,-650.0
2026-05-15,2026-05-15 15:10:11,2026-05-15 15:20:11,23600,0.1315,0.1584,0.83,-0.0025,0.337,171.9,166.35,EOD,-360.75
2026-05-15,2026-05-15 15:20:11,2026-05-15 15:25:11,23600,0.1313,0.1565,0.839,-0.0026,0.324,166.35,169.85,EOD,227.5
2026-05-18,2026-05-18 09:35:05,2026-05-18 09:40:05,23350,0.23,0.4014,0.573,-0.0001,0.997,159.15,149.2,SL,-646.75
2026-05-18,2026-05-18 09:40:05,2026-05-18 09:50:05,23300,0.229,0.3683,0.622,-0.0021,0.997,171.6,161.6,SL,-650.0
2026-05-18,2026-05-18 09:50:05,2026-05-18 09:55:05,23300,0.2235,0.3354,0.666,-0.0066,0.997,159.2,149.2,SL,-650.0
2026-05-18,2026-05-18 09:55:05,2026-05-18 10:20:05,23250,0.2227,0.3177,0.701,-0.0063,0.997,178.7,201.2,TP,1462.5
2026-05-19,2026-05-19 09:35:09,2026-05-19 09:40:09,23500,0.1211,0.262,0.462,0.0033,0.196,188.85,211.3,TP,1459.25
2026-05-19,2026-05-19 09:40:09,2026-05-19 09:45:09,23550,0.1133,0.2442,0.464,0.0023,0.196,171.05,193.6,TP,1465.75
2026-05-19,2026-05-19 09:45:09,2026-05-19 09:50:09,23600,0.1044,0.2363,0.442,-0.002,0.178,166.5,156.5,SL,-650.0
2026-05-19,2026-05-19 09:50:09,2026-05-19 09:55:10,23550,0.1093,0.2362,0.463,-0.0118,0.191,178.7,168.7,SL,-650.0
2026-05-20,2026-05-20 09:35:14,2026-05-20 10:05:14,23650,0.1582,0.4074,0.388,0.0032,0.693,160.45,150.4,SL,-653.25
2026-05-20,2026-05-20 10:05:14,2026-05-20 10:25:14,23600,0.1553,0.2912,0.533,-0.0011,0.656,167.6,157.6,SL,-650.0
2026-05-21,2026-05-21 09:35:20,2026-05-21 09:55:20,23750,0.141,0.4794,0.294,0.0027,0.462,178.7,201.2,TP,1462.5
2026-05-21,2026-05-21 09:55:20,2026-05-21 10:00:20,23800,0.1304,0.3627,0.359,-0.0074,0.203,177.9,167.9,SL,-650.0
2026-05-21,2026-05-21 10:00:20,2026-05-21 10:35:20,23800,0.1322,0.3537,0.374,-0.0008,0.247,159.4,149.4,SL,-650.0
