0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129
10000.0,10156.272066587906,10541.032070903215,11051.472543300755,10348.535858425894,10242.795139210648,10613.470098779728,10779.328989380252,11169.799170783805,11511.971976595145,11911.150297920245,11471.170276985185,11584.143904890747,11616.987397701774,12163.353771136673,12741.33638059736,13433.52175524314,13496.389140616899,13546.280165972745,14124.874186296807,14703.262152623352,15553.381067134573,16179.796994780809,16044.039650099981,16235.042424049347,17117.026745552193,16914.66014538026,17760.121574169225,18464.59133124865,18817.408902395568,18818.559668650178,19589.145538116176,19917.722277326993,20608.370496367785,20651.85653748517,20782.467248118253,21490.21066470889,22267.916638616116,22910.49250297081,24247.020553715836,25646.606082527327,25696.50198211608,26905.051506815485,27879.65951375991,29027.59575233949,30016.125629369984,30311.738938748065,30313.592633189746,30505.308078649876,31563.34419487448,32759.089284116217,34299.80411804412,36181.25620217583,37928.00951439525,39902.99398615934,42210.12077075584,42443.50457836739,43254.506237037196,44914.437285179025,44140.92188497894,46532.018812141185,48784.63012593847,47944.46235413984,49875.4363803939,51615.428727902436,54557.759649165775,56578.09707032832,56753.967446077084,59039.746275251506,60630.02778840877,63787.15005603753,65350.32087067638,70201.30578986493,85060.38906610922,83667.66294105498,88199.90837721752,90396.59585857233,97802.4704483867,99442.95123220466,102761.9211937867,107417.02939700129,112010.63500162233,104886.11977251855,105090.17746668607,106362.22862971202,112501.664840957,116576.92272778171,120619.2345414598,121072.04780065817,124940.82579510298,126453.15669598537,118410.01471544267,118639.20558403779,123706.56976711072,122878.16036899407,121911.62881172326,121631.66555788445,126557.97876499688,133413.57627429647,134420.72680835734,141052.87710898285,142760.2343587269,147133.5153105081,147418.30252427972,140635.40010709615,144081.81764980406,148023.36393793972,156064.87579848035,163134.60430417027,171629.33720561166,175735.3121519458,185987.17269868232,196091.10504676707,196504.87991840573,238097.8722715127,247521.79339074012,248029.68653978527,252019.34764008955,264453.6666019086,277354.9516004722,289293.3698345433,270892.6615532707,283164.0811252076,296876.0598350097,312334.9677956322,323638.0105672733,324302.0875605999,333037.41667467705,343679.4092102219,356512.6531736423
10000.0,10075.49085799111,10096.16488717432,10117.468960753982,10275.576739067583,10618.530463914914,10878.748656779204,11175.474005716034,11945.227162058212,12137.371130014712,12583.833504933376,11783.429923210038,12289.370753721667,12633.504763512932,13370.504786252142,14132.688703640053,14263.90898980144,15207.145389035706,15451.758674048968,15534.86369797672,16151.06678025137,16725.55154298406,17330.829990683636,18341.8575983284,19229.785459547107,19834.957708475988,19632.28529931672,20381.991179183966,20457.33566044696,20500.503000622597,21311.913540915222,22469.703777204802,22678.332228693092,23705.659172045318,25056.99724497957,26485.368172141098,27218.55500483377,28784.091671837352,29850.00013128919,29908.073804058302,32358.336910893682,33600.08895245886,34199.262921305504,34733.70187055506,36049.55272547325,37234.19638175824,38582.967110430145,46749.58901137554,48971.052758662765,49066.326758011404,48680.38223321898,51495.00345621823,53978.74064495654,62551.536140882024,66168.16512111198,68565.03931090941,68641.47401851197,68645.67174267139,68779.22304117275,71582.87641846707,74482.11871598843,76513.66971167982,80658.38605925032,85314.14612081043,94581.65342978365,99147.85244400495,102441.31781273898,104042.1894565975,103813.32348179989,108281.84609819054,108043.65397257707,111812.94693024321,117211.03577237885,120821.63622047748,120956.32536423627,125337.84469196168,130470.20198867061,134762.55764164685,139068.80691181298,143920.4669145076,148655.3245319819,156731.1682606627,161887.48675965331,169580.11445074386,174219.19994784342,174229.85420833406,174723.83261633207,183316.2994069624,188254.0665960043,194781.78768837638,194793.69944038466,195399.20656925623,196121.52323246808,204152.3437183128,209036.3829052647,215439.95064732723,222519.63823147758,223354.99291604577,223787.31213291694,232143.6962966337,236579.4497674314,234594.41881081078,284249.5921160803,294536.25748750893,305839.0942203495,320223.2190405972,320580.19642091973,331114.9539229811,343759.37224124337,340246.85957712826,341524.1706958966,361237.61491005885,379060.62638461095,387923.0194790516,401374.27353299095,420810.47981832526,445100.48512521194,452056.1623901916,473317.1208106931,486419.8225896865,499726.47208562715,502489.5076962817,498273.3459411727,498828.8094526929,535857.1055600743,579757.9901470074,601897.4388910797,631594.3046577584,653500.3147005605,665153.8665038217
10000.0,10018.57127957914,10252.804303913921,10533.283155487654,10552.844810124336,10840.680907579263,10969.738188040088,11366.011700944804,11631.747724679382,11632.45905655473,12060.348691048197,12058.994485800813,12239.282395634957,12624.459550534764,13108.923522329804,15190.856505313552,15695.46208766758,16129.955052270181,15720.02454042946,16538.5964813407,17437.07166946814,18030.888203922324,18516.564210096538,19596.7639250091,19098.727108404946,19963.898177614858,19986.153465953477,18714.920116215497,19617.58911237221,19655.755458959145,19696.087356204058,20072.4360972863,20572.35576734565,20612.175001374937,21290.29754996247,21427.17978563547,23182.633127640645,23625.602060239882,22752.907767155302,24257.500288724637,22714.58491980003,22662.42214283011,23532.093196696827,24668.172096365168,25380.01111858352,26456.997224740815,26248.892524511346,26750.450903987727,28070.284647021166,28835.920959562787,28896.76808208158,28987.32150463166,30946.187971320232,32348.048230548473,33469.99734278345,34910.67407945476,36947.256015506915,38443.689978167204,39911.75444346043,41518.09294991835,43189.082169764086,45272.20329478198,46718.84690120104,48448.900247874764,51722.915269522666,51717.107523406674,53310.21529152674,53835.24005190309,54124.785016139664,54415.88725561517,55291.18952951231,58019.18756944924,58141.61475391233,59252.5726371404,61638.9833534798,61870.38051871691,63655.74795496933,77129.37282892519,77278.66212675477,79974.66421685596,80225.27977156296,82682.8807236228,83214.47581001245,83842.66902763027,86481.2453486396,89063.66426500907,89480.4722924321,89758.6181668804,93437.95275003559,96813.32827314979,101482.88546624704,100631.38856144098,100827.16860512322,98099.45654241715,98641.85784983901,101332.38234063429,100296.97413071165,103796.01053281323,104759.74379618146,121397.47652279933,122165.24336491959,124074.34486950464,126728.99139409921,132141.88967495062,132977.6085403958,135208.0962825609,134144.5802642288,139918.67621523672,140573.4800335412,147893.4117611134,148356.8634028173,154050.06199080267,159886.09140472012,172984.9955211041,179590.84228289165,189828.39530623847,197473.77670762537,198722.68090470642,205613.40182845783,206196.35921747584,202645.2502876855,210905.6960333668,217844.3091635306,207821.01717133285,217844.76227873378,219245.35698721022,228125.2098838243,231794.69916379498,232651.55614182394,240574.46564304555
10000.0,10288.565775947072,10353.634835716712,10750.964996665653,10565.812126128032,10477.15918449333,10899.12913182008,11649.847986904735,12032.679879978936,11969.245451873927,12035.424558372266,12695.60543115011,13436.228216876902,13486.668781463024,13611.890851656337,14127.563447711784,14171.834807707819,14311.405884907961,15138.86830173202,16014.173261543303,15850.541398883775,16632.587258921096,17434.819956216485,18174.656466471217,18208.409129120584,18306.340394310693,19374.276294872867,19057.053895044468,19788.36884629038,20474.702151516114,21188.998158661612,22101.053705243154,22796.58639345937,23698.875985172446,23981.008861391165,24603.306707062686,25389.48925958364,25983.092547879805,26702.375028867893,27520.368839298528,28786.931493646265,28842.65061376522,29743.927256933595,31157.309866289765,31644.21158650225,31733.929604880213,32649.662206908415,32115.07686079136,31786.92693007937,31904.431127752538,31969.896240024038,32350.49482977384,33221.880584540275,34882.441209740486,35225.98034642067,36186.7931788249,35594.29304103556,35633.97272923022,37044.36646757504,38458.994409930005,38579.512855514,39861.03622087407,38388.62934896888,38300.472003458,39572.72626857984,40043.83583044075,42359.10586342224,43682.74540166838,46691.56016276284,46790.08474554976,54221.192306931865,54630.512739786995,56963.9125817508,57979.72220150906,59885.024900331424,62839.677023749384,64184.17036274861,65960.96229825851,62926.01505662326,65121.29980205704,65247.9943762068,69742.19744897066,69157.0222739711,72492.64430631654,72698.1762525419,72838.88865934839,72094.62526025048,75848.73118907872,76421.31976857879,80572.98159390283,84014.44631917973,87238.50293633818,90569.91431331451,96690.32692235328,96468.28298114956,99252.02747442327,104094.00493530056,106644.93737781895,129217.82242115735,129912.80157859383,140556.09966924053,136753.58717326605,141123.45848814145,156453.42124899954,163999.5743625121,171547.28338594164,175217.642476881,194251.1891529047,193805.10213473113,199170.15305908673,207743.19844097886,216211.4522851712,218785.4291667249,218282.63349651368,233033.44553509649,244317.89104510515,252841.35051993834,264477.8011036276,277484.1362372666,288846.6080815718,281032.34147034213,294742.4116603705,309237.08217016386,321761.77066338196,324749.2893519787,319156.46460115677,332788.40043176623,351929.4769193636,363619.7709186734,370104.02462409425
10000.0,10045.812098321749,10387.920534823079,10646.639794468578,10805.812305705884,11250.738239140861,13037.55795649481,13752.708996565352,14149.565110862168,14193.905417181004,14247.190356329726,14936.89570343833,15673.863429190953,16156.68535758662,16938.82920517886,18105.555309034356,18140.77996865564,18836.94891212855,18793.690909908113,19495.461263198144,20243.61733441274,21072.55672932097,21979.600191296777,22607.887126363777,23475.465397519805,24037.0807620322,24892.06680266002,26257.474919949324,26306.23841072739,27065.34642065141,28513.216424720205,28221.870088085056,28643.800952700894,28777.850750354275,30336.735965275944,30395.454840389095,31793.202356299516,32710.6453670783,32813.150286777185,34222.03654620956,35576.54580693504,35677.41282274948,35489.327017986805,36460.18390650947,38871.20409795797,39982.33757957335,40203.40376017514,40248.22157756313,39910.51698885549,40162.92727343142,41789.60202260883,42490.55608611246,44563.44386588216,44036.591115042436,44126.95036231617,44410.65685372856,45640.064299558835,48302.56604046455,50886.52840335446,48545.17491739673,50500.34277751477,51101.5445799448,49213.930194118126,48826.82465439408,49697.52956103128,51420.79439042017,52043.21108896259,52971.272243319014,55804.98864829151,58594.34208670645,59291.90218505918,60830.503968194855,62939.80535537263,63701.65250924492,66422.50242339284,68050.2553035938,68261.7863481103,71026.51819721704,74076.15788949943,76819.28434415012,76967.97344402061,79842.01464086458,84179.50901082875,89038.51518740236,87985.8544729758,87975.97491568643,92755.35451432687,93018.33552044934,91495.31090922044,94135.55244802423,96826.41748713568,100412.0125677313,100881.92960105032,104401.37320388814,108179.53866217827,109488.98461886111,132663.85183789747,139870.9434053255,138934.2881875909,146460.3056647173,147565.94707834427,154764.90318964867,159856.53328573832,165300.42056251134,173456.13627657798,171683.7718713033,175959.69005943244,176302.02256918524,181182.5407739795,200864.04257912515,201944.36045211906,201500.13495906524,209615.5983053561,217912.1901435927,228432.52248858789,229080.17690066676,237563.28282024842,235135.87543352184,244720.7393231243,242667.398495081,255812.5990501582,257188.44969690617,265282.3159976524,272539.46020213485,274291.70488232473,286717.1008912565,300597.0528429281,320474.7793445988,328456.45357565815,338952.06443555787
10000.0,10819.264765390173,13109.31271147664,13484.042453266478,13931.951568347447,14853.236458837844,14869.794500619675,15589.851595436983,16067.427170523955,16098.526800045587,16132.496550273023,15696.058573777984,16197.615845773005,17132.573965215746,17513.77554376807,17473.55613536522,17326.943444004894,17376.06898553067,17655.57031246822,18196.4265928406,19449.77448634593,20154.322698894575,21319.61314652739,22091.14539272698,23160.5759765858,22781.359050963405,22927.827805157533,22925.25333691285,23098.318041319562,23899.253609953063,24612.90989878939,25603.511927633117,26202.119040867434,26611.584970017302,25628.592948309062,26864.726264716577,27747.54242029237,29116.57140989697,30083.757458116466,31083.071219407033,31140.796459986428,31903.93424131222,33722.61393731985,34226.78363306537,34228.876749488205,36088.39345706279,36423.46977663961,37316.06499170572,39115.915309923024,40788.676964254904,41426.09004851397,43124.20493567741,44541.33252664708,45207.24739640775,47625.62462515191,49277.04602615764,47456.82587949453,47451.49715440735,47543.81483300129,47632.10978075355,47808.18760216671,47906.2858367455,49939.16139391958,50041.632201009255,51287.95806489092,53958.62077731727,55830.1039112321,53767.82363827144,55931.830876814296,57719.09590136814,60513.272723450216,61996.21375054546,62286.34912476691,62355.78449490349,62691.15596114221,67009.24709098123,70315.3994142962,71152.49759108888,74191.59091655682,77385.08083516787,81589.09990897977,85101.00691635102,87897.55667536323,89271.14995833188,87002.39173325062,90324.7866378928,93960.111240563,96561.1819869528,101235.7010937983,105070.91233413675,107378.45126798119,112242.6879768632,116760.14791516263,126325.89543402637,126684.05600873943,125687.58814522471,130673.08919141936,136818.86342727463,137851.72076622397,144630.9123337303,148175.24408167737,155328.82650408716,151126.66234929953,151600.24598589956,152075.31368532058,157911.3422706156,163156.79665292104,189069.03237319767,192023.65321487118,201285.45060483858,201710.18614532572,188880.2678698252,189415.78329253237,188147.34770882354,188842.85700374498,196443.2633778713,194794.99697346473,195206.03690742466,196461.0798999451,205936.9058546331,215879.09720364894,227606.937150144,227581.3801354568,233249.47183680985,244757.70863550462,254734.78813848135,267070.10262371204,276717.80851644767,263985.6724103843,272660.6469531366
10000.0,10427.123913897374,10494.163279111706,10470.04640862667,10920.717262833648,11457.76993049583,12215.443416790693,12271.404926276071,12364.042814940161,12409.747985942126,12943.911017035263,13266.289212364962,13464.626773275928,13681.210918572733,14422.316903456798,14697.895535493857,15321.592239467629,15852.86937275225,16502.01560626999,17044.29717777115,17536.137261828753,17356.954062225373,17903.18724545505,18527.771430854777,22449.432082557887,22519.78157297864,21087.395025304373,21982.226448001195,22581.806787521855,22687.487127764187,23785.78656738139,23853.224292304734,25149.07368361518,25629.616953404842,27361.580950011972,28619.814524902988,28885.546002514628,29045.25695779993,29178.31937455305,30758.89782232658,30688.261729586542,31850.8552125191,32236.389982686364,32414.62807583635,32992.66230010186,34487.22771046886,34807.437401913856,35895.10201218092,37521.147748685034,36906.79971565406,38693.9799608922,39849.42199225745,40472.15714496381,42664.5184834315,42328.92912104058,44277.02222750669,45660.59291582803,47888.1298979386,49827.69000918167,51868.04349559498,54427.147797661426,58026.2780883807,60224.544426788016,60341.11324641947,63651.01300227782,66352.0069587421,68395.93212738167,68238.8646852159,71543.27340833715,73747.11175277618,74933.36484660754,71485.58602374366,68196.44386207499,70813.54446933125,74601.7393560852,77560.87840152511,85986.16354074054,89678.12006594721,91875.7761749851,95081.02427039272,98931.98613513922,98704.7943486206,105231.89395891105,110365.59723611391,114291.24219843718,119468.62787722595,122396.33153225001,126666.34289826488,128174.2937253148,133691.40570229414,138756.1681956266,144682.77595933844,149923.76172296715,155870.61042894807,157757.32711415456,157766.9746596483,158639.28339956864,165135.27418113558,170193.98644990943,181695.12817614677,182366.78606570695,188972.83660069053,196452.38729474618,202067.9793540087,198587.969286751,202382.54690430034,214064.46400020772,217409.69361744222,231786.44943612855,231800.6241838672,240696.18412744577,254540.36879457603,255262.04446100933,268917.37521526,283668.33864107775,294554.11869846925,309039.52944674174,314550.4803746128,322075.62970399734,310178.63917365536,323496.66621104407,330418.0753192548,330380.97407924174,343457.4632108451,355674.060538194,363587.845915835,363547.02018339245,346819.7623074195,348737.36204900366,358502.905718488
10000.0,10045.812098321749,12172.148024227216,12463.34844278196,13173.820028690783,13198.285498178593,13729.849421032091,14205.932776262338,14659.87405431733,15748.083370005741,16390.0238452536,17093.756317921794,17349.316398109328,21021.540643012697,21423.215869849817,22587.052712394132,23512.928420749515,23690.429534786104,23565.537252759917,23613.891681516623,23615.335773518244,27365.876110974237,28700.911361117047,29928.28348289571,30783.783552852874,31623.432413627314,32498.854801548154,33712.38613634201,34676.05479159737,35932.159454343455,37405.07024138357,39216.37881113721,36721.99345151307,38292.38090198223,39761.88587374509,46076.78896438979,55829.582543090524,58039.31914000354,59545.416880670935,62521.731675119605,64447.66800794472,66052.78742496367,66296.95949631612,69150.63427496012,69831.6631357806,68688.2827365962,69129.90200863598,73162.72902742731,75699.651060951,77764.41108842527,77755.67925352951,76961.17638280275,81142.16643882486,81133.05533015044,85188.40544016598,85831.50002192325,86676.81010902986,91617.81059717272,95133.72747158163,100556.81345368754,104851.83542682625,107787.9566719665,108480.96044296873,110102.80425740052,117686.55247746797,118055.34528103283,123770.39511602756,125761.29361552832,129191.51936190225,132767.89105045373,136074.57888678426,139463.62236166885,161612.95558697585,164323.7557011343,170021.69182258888,170370.5615171836,176637.49071432158,176999.93545168944,179646.1717063737,186153.67076533637,189710.6563926521,187467.79604539333,191850.77118303522,201140.98087159274,201118.3956065446,201748.63768096006,211590.8785023442,217379.2233148127,216901.04510552532,221045.5451673193,233170.5882203873,230788.0651238286,224544.47623924614,237505.62331390573,228732.5219337567,239775.23664956202,247740.02276160946,248899.4184708827,249381.1807107511,250088.22899011694,258435.07820847194,260069.52638295235,261030.9046597543,273667.38990362856,291764.3255770895,308633.6685282005,309508.7101158026,298075.9227400853,312734.52671459125,320398.4133196627,336028.9443553579,337081.9538441989,324630.6522150777,328560.1041263656,326359.8792020397,326723.6975880672,328530.1842596917,342671.38029594795,354860.01707660384,362755.68990132667,379450.69904760964,395657.9458184406,411352.04204482294,425983.6130418967,437457.8131776862,462977.7638401933,463927.7538640757,501935.7201068199,489179.40640428604,490087.87515635527
10000.0,10402.472536939833,10435.070628481677,10790.435198568272,10604.6025731263,10637.56648559023,11088.965472563748,10383.644023550072,10683.28045303146,10938.861943929243,11334.726759508305,11648.502741712027,12117.648814784072,12407.545421343666,12883.696270535027,13405.510411637593,14328.8657830928,14977.96245114604,15622.67125841325,16241.017068085246,17025.098477502535,18009.46222528205,18607.69545662701,19108.90821504868,19286.332090773372,19287.511533716894,20018.19922820652,19972.194958472002,20047.172011069553,20687.766263303336,21224.605745404373,22271.801209357847,22804.620710174328,23292.53952350059,23136.559459680233,23411.998010869287,23588.737192581957,25521.279316775068,26604.260057291795,27526.99350136892,28131.533881051666,29454.60703414744,28366.598042960337,29843.7014124466,29901.762830953223,31322.645527756824,31383.584256689526,32252.366997037054,32642.761817351504,34222.99530948123,35459.27518607806,36637.15137751361,36714.459996916936,37839.16148876226,38297.18097773843,38371.30785116316,39757.4423874921,41682.66256869306,43739.23293287472,46268.164868963104,46270.99436812902,48247.33918957287,50466.012963518275,54600.5155905917,56071.22297046014,56749.930211338775,57964.12969121484,58284.61892567345,57689.0701824791,59125.8614514549,62204.6588822027,65215.98144988785,75573.45302769495,75857.16119169083,75220.67812693227,78267.25829505724,78510.54841681704,81867.99087499983,82320.64685141089,87072.35586243737,87540.66179252847,92342.54229333215,95248.61444421626,100473.3003794474,100585.30567272149,101519.22793413844,103892.73560539834,107306.81042364321,107426.43355462841,111985.01218691476,113735.02511504685,119328.21988189059,124161.23916917163,129464.46261200009,134994.19941014587,143921.02603671642,145007.49821056364,145313.48077384417,152350.16193305218,161034.8634527893,168329.73206904426,172454.8281765698,180565.66757291896,180545.39262226963,186967.2951785707,193111.32758454134,200888.92982329064,197429.22531978338,203072.7402968181,204003.0591313126,203554.30503229145,213372.2555790145,222485.89487101647,240713.38031742908,234595.83325169527,228249.23150661046,235542.78621343776,241655.0298338501,257635.06871101225,268011.3791649387,278619.2778085081,275772.3627254709,284267.3291752465,292020.91601708444,298848.33086685615,311711.90637490025,332324.63016455213,330099.1958374001,329373.06276936474,337073.76643997023
10000.0,10578.183878983305,11277.692553609884,10972.593259009547,11023.943773158559,11220.528376022303,11651.116451569382,12233.485206097439,12347.071620059969,12944.792370924004,13691.991146776823,14482.319699812471,15148.29513894738,15021.192658912041,15658.60828950311,15624.163391055006,15673.124626634117,16532.844783989884,17210.5498201634,17748.3459740854,19676.313767423017,19910.558421053778,20427.22966216602,20428.47887594951,20381.531733413794,20458.045465628617,21467.419805484093,22946.06976210713,22993.153097558283,21935.209063109683,22542.43514933603,23857.49185993627,23901.798275075067,24473.61301541995,23569.594469976764,23747.52336088087,24875.96669802372,25944.05700220479,25994.273539830483,26770.489278120567,26893.130506813624,27562.92488875448,28558.61474792577,29901.774229465325,31349.74210021529,31447.191311275503,31594.360663520503,32632.59986774708,32557.660922797837,33693.49220508242,34699.61452996544,36584.704521001535,44328.36633751486,46368.47901402697,47400.182564883056,50603.32874471998,52606.21005529619,54723.46553727067,57871.00925621128,54190.08300520385,56814.1914779208,56934.07598150614,58825.29604249396,61673.8607464891,63381.1605025941,64005.36879781999,68330.63805755657,71264.52572808397,73999.36676959049,73829.43135239725,76757.9361688159,76975.5611176639,77733.65363913718,79396.81272084909,79996.18607225473,82938.77444956267,79122.6566130442,79415.14302746028,81581.24565278448,82032.31618734999,85279.15778909078,88509.87166755032,91597.6942623425,91699.80523680375,91216.37804015604,94511.50085355433,97931.76322154737,118660.38370410963,123054.51599892031,128338.06284635127,133535.99786660573,141148.20036706215,144288.7627191633,148235.970259935,155414.17047570436,157842.8598354327,160490.42259367157,160829.0759150045,165426.37551539976,165746.56984004393,171199.4871741959,173237.6008701301,173248.19510157531,180120.22654617787,187415.4374341702,190430.09302140638,197203.58905699544,205146.00804879496,206464.95834318202,217509.87221313026,226270.13133534207,241560.71182637496,253211.8096617479,261994.1251520879,274316.1476455369,287351.2007909618,298324.39527827885,309626.11059882905,322764.9156868338,337619.4400113363,338576.66237855796,339536.59867321304,355150.32907627104,363853.65927261463,361417.08867294464,380751.2199829415,381934.76739073015,383988.9476722379,390836.434954059,402507.2128060992
